Word;Database;Concr.M;Concr.ET;Imag.M;Imag.ET;FreqSub.Moy;FreqSub.ET;ValEmo.Moy;ValEmo.ET
Radeau;B;4.64;0.79;4.12;1.20;1.84;0.55;3.24;0.97
Radis;-;4.82;0.50;4.48;0.87;2.68;0.75;3.28;0.98
Raie;AF;4.73;0.63;3.36;1.19;2.08;0.81;2.76;1.05
Raisin;AF;4.86;0.35;4.88;0.44;3.24;0.88;3.88;0.67
Rame;-;4.45;0.86;4.08;1.15;2.24;0.88;2.88;0.83
Raquette de tennis;AF;4.82;0.66;4.76;0.60;2.68;0.85;3.76;1.13
Raquette ping-pong;AF;4.86;0.64;4.68;0.63;2.48;0.77;3.72;1.06
Rasoir;-;4.86;0.47;4.60;0.71;3.80;0.91;2.04;0.84
Rat;AF;4.82;0.66;4.44;0.87;2.48;1.00;1.72;0.98
Râteau;AF;4.77;0.69;4.40;1.04;2.20;0.82;2.48;0.96
Raton-laveur;AF;4.77;0.69;2.72;1.57;1.60;0.71;2.84;1.18
Règle;AF;4.00;1.41;4.16;1.28;4.16;0.85;2.84;0.75
Reine;B;3.86;1.49;4.08;1.29;2.72;0.84;3.32;1.22
Renard;AF;4.86;0.47;4.60;0.76;2.40;0.82;3.32;1.18
Renne;-;4.73;0.70;3.36;1.44;1.92;0.76;3.36;0.91
Requin;AF;4.82;0.66;4.50;0.98;2.40;0.76;1.92;0.95
Rétroprojecteur;B;4.77;0.69;3.67;1.55;2.48;0.87;3.00;0.87
Réverbère;-;4.82;0.66;4.04;1.24;1.92;0.91;2.80;0.91
Revolver;-;4.86;0.64;4.48;0.87;2.24;0.66;1.48;0.77
Rhinocéros;AF;4.77;0.69;4.32;1.11;1.84;0.69;2.88;1.09
Robe;AF;4.91;0.43;4.56;0.77;3.96;0.79;3.48;1.05
Robinet;AF;4.68;0.78;4.80;0.50;4.12;0.88;3.00;0.76
Robot;B;4.50;1.19;4.24;0.93;2.80;0.87;2.32;1.11
Rose;B;4.91;0.29;4.76;0.60;3.44;0.82;4.40;0.96
Roue;AF;4.64;0.90;4.40;1.00;3.63;1.21;3.04;0.54
Rouet;AF;4.14;1.35;1.92;1.22;1.44;0.58;2.48;0.77
Rouge à lèvres;AF;4.77;0.69;4.56;0.96;3.28;0.84;3.16;1.21
Rouleau à pâtisserie;AF;4.86;0.64;4.60;0.91;2.44;0.92;3.28;1.21
Route;B;4.18;1.10;4.52;0.82;4.44;0.71;3.16;0.94
Ruban;-;4.64;0.79;4.12;1.17;2.48;0.65;3.36;1.25
Ruche;-;4.73;0.70;3.84;1.31;2.40;0.87;3.08;1.15
Sablier;B;4.64;0.73;4.16;1.18;2.08;0.81;3.00;0.76
Sabot;B;4.86;0.48;4.08;1.32;2.04;0.84;2.72;0.79
Sabre;B;4.77;0.53;4.40;0.96;1.92;0.57;2.00;1.00
Sac;AF;4.73;0.55;4.40;1.00;4.44;0.58;3.32;0.75
Sacoche;-;4.59;0.73;3.80;1.32;2.52;0.82;2.88;0.88
Saint;-;1.50;1.01;2.24;1.48;2.64;1.19;3.42;0.97
Salade;-;4.73;0.55;4.52;0.87;4.40;0.71;3.88;0.83
Salière;AF;4.86;0.47;4.60;1.04;2.64;1.22;2.88;0.68
Sandwich;AF;4.82;0.39;4.72;0.68;4.48;0.59;3.56;0.87
Sang;B;3.95;1.29;4.20;1.19;3.88;0.78;1.72;0.94
Sanglier;B;4.82;0.66;4.40;1.04;2.20;0.87;2.56;0.96
Sapin;B;4.77;0.61;4.84;0.37;3.28;0.89;4.40;0.71
Satellite;B;4.18;1.10;3.52;1.39;2.72;1.02;3.08;0.95
Sauterelle;AF;4.86;0.47;4.36;1.19;2.20;0.91;3.04;1.31
Saxophone;AF;4.91;0.29;4.48;0.92;2.12;0.60;3.40;1.15
Scaphandrier;B;4.62;0.92;3.20;1.58;1.36;0.49;2.48;0.82
Scarabée;AF;4.73;0.70;3.80;1.32;2.04;0.79;1.84;1.11
Scie;AF;4.86;0.35;4.48;0.92;2.44;0.77;1.84;0.75
Scorpion;AF;4.73;0.70;4.04;1.10;2.08;0.70;1.76;0.93
Seau;B;4.82;0.66;4.48;0.96;2.96;1.27;2.92;0.76
Sein;B;4.55;0.86;4.50;0.83;3.76;0.88;3.68;1.07
Sel;-;4.77;0.75;4.52;0.92;4.72;0.46;3.04;0.93
Selle;AF;4.64;0.79;4.16;1.11;2.60;1.12;2.64;0.86
Seringue;AF;4.91;0.43;4.64;0.81;2.36;0.70;1.20;0.50
Serpe;B;4.24;1.26;2.64;1.70;1.40;0.50;2.56;0.92
Serpent;AF;4.77;0.69;4.56;0.92;2.84;0.80;1.52;0.96
Serviettes;-;4.82;0.50;4.04;1.31;4.00;0.65;3.28;0.94
Sifflet;AF;4.73;0.63;4.36;1.08;2.56;0.87;2.44;0.77
Signe;-;2.41;1.44;1.88;1.30;3.68;0.99;3.44;0.77
Singe;AF;4.82;0.66;4.76;0.52;2.56;0.77;3.44;0.87
Sirène;B;2.86;1.70;4.36;1.04;2.28;0.79;3.56;1.36
Ski;AF;4.59;0.73;4.72;0.89;3.12;0.97;4.08;1.04
Soldat;-;4.41;1.05;4.16;0.99;2.64;0.76;1.88;0.93
Sole;-;4.68;0.65;3.04;1.57;1.96;0.84;2.84;0.99
Soleil;AF;3.91;1.15;4.84;0.62;4.68;0.56;4.76;0.66
Sombrero;-;4.73;0.77;3.64;1.55;1.76;0.83;3.44;1.00
Sorcière;-;3.50;1.74;4.44;0.82;2.52;0.77;2.48;1.08
Souris;AF;4.77;0.69;4.76;0.52;3.16;1.03;2.88;1.20
Spaghetti;B;4.82;0.50;4.83;0.64;3.84;0.99;3.72;0.94
Sparadrap;-;4.82;0.50;4.04;1.31;2.60;0.91;2.00;0.82
Spatule;-;4.73;0.70;4.00;1.29;2.52;1.05;2.56;0.77
Sphinx;B;3.41;1.56;3.20;1.47;1.68;0.69;3.40;1.00
Squelette;AF;4.68;0.89;4.56;0.71;2.52;1.00;1.56;0.77
Statue;-;4.68;0.78;4.29;0.95;2.68;0.90;2.84;0.99
Stéthoscope;AF;4.76;0.70;3.56;1.53;1.68;0.63;2.28;1.10
Stylo;AF;4.91;0.29;4.84;0.47;4.68;0.63;3.60;0.91
Sumo;B;4.09;1.27;4.12;1.33;1.68;0.80;2.29;0.91
Table;AF;4.95;0.21;4.68;0.69;4.64;0.57;3.56;0.77
Table à repasser;AF;4.73;0.70;4.52;0.92;3.52;1.16;2.08;0.81
Tableau;AF;4.50;0.96;4.20;1.19;4.04;0.84;3.68;0.99
Tabouret;AF;4.86;0.47;4.76;0.72;3.84;0.80;3.00;0.76
Talon;B;4.55;0.86;3.80;1.41;3.00;0.91;2.71;1.00
Tam-tam;-;4.73;0.46;3.84;1.18;2.16;1.07;3.60;0.87
Tambour;AF;4.91;0.29;4.12;1.13;2.48;0.92;2.92;1.04
Tambourin;AF;4.86;0.35;3.32;1.35;1.68;0.69;3.24;0.97
Tampon;B;4.55;0.67;3.64;1.35;3.36;0.81;2.72;0.84
Tank;B;4.68;0.95;4.21;1.28;1.76;0.78;1.48;0.59
Tapis;-;4.86;0.35;4.52;0.92;3.28;0.98;3.60;1.04
Tarte;-;4.77;0.43;4.64;0.76;4.16;0.80;4.12;0.78
Tartine;B;4.73;0.55;4.40;0.91;3.36;0.86;3.88;0.73
Tasse;AF;4.82;0.66;4.63;0.71;3.96;0.89;3.56;0.82
Tatou;AF;3.90;1.34;2.12;1.30;1.60;0.76;2.68;0.99
Taupe;B;4.82;0.66;3.76;1.30;1.96;0.84;2.48;1.29
Téléphone;AF;4.64;0.66;4.92;0.40;4.68;0.48;3.76;1.20
Télescope;AF;4.82;0.50;3.32;1.46;1.72;0.61;3.60;0.82
Télévision;AF;4.64;0.95;4.92;0.40;4.88;0.33;3.76;0.72
Tente;B;4.91;0.43;4.72;0.61;2.84;0.90;3.80;1.08
Tétine;B;4.91;0.29;4.52;0.87;2.60;0.91;3.20;1.29
Thermomètre;AF;4.73;0.63;4.84;0.37;3.28;0.74;2.92;0.76
Thermos;AF;4.59;0.73;4.32;1.18;2.32;0.80;3.48;1.08
Ticket;-;4.68;0.57;4.08;1.29;4.00;0.65;2.64;0.76
Tigre;AF;4.77;0.69;4.60;0.65;2.28;0.79;3.52;1.12
Timbre;-;4.73;0.77;4.64;0.95;4.04;0.79;3.68;1.03
Tirelire;B;4.86;0.35;4.36;1.04;2.64;0.91;3.64;0.91
Tiroir;B;4.68;0.89;4.24;1.09;3.60;0.82;3.16;0.80
Toile d'araignée;AF;4.64;0.79;4.56;0.96;3.40;0.91;1.60;0.91
Toilette;B;3.77;1.31;3.56;1.56;4.68;0.56;3.08;0.81
Toit;B;4.82;0.66;4.36;1.04;3.16;0.85;3.56;1.00
Tomate;AF;4.86;0.47;4.88;0.44;3.88;1.09;3.96;0.79
Tombe;-;4.18;1.18;4.04;1.34;2.68;1.03;1.32;0.63
Tondeuse;AF;4.82;0.66;4.52;0.87;2.92;1.12;2.24;0.83
Tonneau;AF;4.91;0.43;4.56;0.77;2.24;0.72;2.84;0.90
Toque;-;4.55;0.80;2.92;1.68;1.64;0.64;2.72;0.98
Torche;AF;4.55;0.86;4.08;1.14;2.17;0.70;3.36;0.95
Torchon;B;4.82;0.50;4.48;0.96;3.92;0.86;2.60;0.65
Tortue;AF;4.86;0.48;4.76;0.52;2.28;0.84;3.24;1.30
Totem;AF;4.00;1.38;3.80;1.32;1.60;0.58;3.46;0.88
Toucan;AF;4.27;1.32;2.64;1.75;1.48;0.51;3.24;1.13
Toupie;AF;4.77;0.61;4.24;1.16;2.00;0.87;3.92;0.76
Tourne-disque;AF;4.73;0.77;3.88;1.33;1.76;0.66;3.36;0.91
Tournevis;AF;4.91;0.43;4.24;1.30;2.80;0.87;2.52;0.77
Tracteur;AF;4.82;0.66;4.72;0.61;2.72;0.79;2.72;1.02
Tractopelle;B;4.59;0.73;3.28;1.59;1.76;0.78;2.00;0.96
Train;AF;4.86;0.64;4.88;0.45;4.00;0.87;3.32;1.14
Transistor;-;4.59;0.91;4.24;1.01;2.00;0.76;3.48;1.05
Trèfle;B;4.36;1.14;4.72;0.54;2.52;0.87;4.20;0.91
Trésor;-;3.45;1.60;3.92;1.00;2.76;1.05;4.68;0.56
Tricot;-;4.73;0.55;3.96;1.10;2.64;1.08;3.08;0.95
Trombone;B;4.73;0.55;3.84;1.43;2.28;0.89;3.00;0.96
Trompette;AF;4.86;0.35;4.76;0.66;2.20;0.71;3.04;1.06
Tronc;B;4.64;0.85;4.40;0.96;2.92;0.86;2.96;0.79
Trône;-;3.95;1.29;3.60;1.29;2.12;0.83;2.80;1.15
Trousse;-;4.82;0.39;4.56;0.82;4.08;0.86;3.36;0.86
Truelle;B;4.77;0.69;3.76;1.30;1.56;0.58;2.16;0.99
Tuba;B;4.77;0.53;4.04;1.17;1.80;0.71;3.00;1.15
Tube;-;4.27;1.08;3.76;1.39;3.28;0.94;2.64;0.86
Tuile;B;4.77;0.69;4.44;1.04;2.76;0.97;2.84;0.85
Tunnel;B;4.18;1.30;4.00;1.29;2.88;0.73;2.16;0.90
Tuyau;B;4.86;0.64;4.32;0.99;2.84;0.85;2.24;0.66
Urne;B;4.50;0.96;3.88;1.36;2.36;0.81;2.36;0.91
Usine;B;4.64;0.85;4.28;0.94;3.60;0.87;1.60;0.71
Vache;AF;4.86;0.47;4.80;0.50;3.64;0.91;3.44;0.96
Valise;AF;4.68;0.89;4.76;0.60;3.32;0.90;3.36;0.99
Vase;AF;4.86;0.47;4.44;0.92;3.52;1.05;3.88;0.93
Vautour;AF;4.77;0.69;3.52;1.48;1.88;0.83;2.20;1.08
Vélo;AF;4.86;0.48;4.80;0.41;4.16;0.69;3.60;0.96
Ventilateur;B;4.86;0.35;4.32;1.03;2.72;0.89;3.40;1.08
Ver;-;4.64;0.73;4.04;1.21;2.56;1.08;1.84;0.90
Ver de terre;AF;4.86;0.47;4.68;0.63;2.44;0.96;1.36;0.57
Verre;AF;4.59;1.01;4.40;1.08;4.80;0.41;3.64;0.57
Verrou;B;4.64;0.79;4.08;1.26;3.08;0.95;2.84;1.14
Veste;AF;4.82;0.50;4.44;1.04;4.20;0.71;3.64;0.81
Ville;-;3.36;1.59;4.08;1.04;4.68;0.56;3.00;1.00
Vingt;-;2.95;1.62;3.20;1.66;4.20;0.91;3.80;0.91
Violon;AF;5.00;0.00;4.84;0.62;2.28;0.79;3.48;1.08
Vis;AF;4.73;0.70;4.04;1.24;2.80;0.91;2.44;0.71
Voile;B;4.50;0.86;3.92;1.26;2.88;0.78;3.60;0.96
Voilier;AF;4.50;1.10;4.32;0.95;2.48;0.87;3.96;1.06
Voiture;AF;4.86;0.47;4.92;0.28;4.88;0.44;3.60;0.87
Volant;B;4.36;1.05;3.88;1.54;3.52;1.00;3.20;1.00
Volcan;B;4.27;0.88;4.68;0.56;2.96;0.89;3.68;0.80
Wagon;B;4.64;0.95;4.40;0.91;2.80;0.82;3.16;0.85
Yo-yo;AF;4.73;0.63;4.56;0.87;1.92;0.76;3.60;0.87
Zèbre;AF;4.82;0.66;4.76;0.52;2.00;0.58;3.36;0.99
