ID;Word;English Trans.;POS;VAL_M;VAL_SD;VAL_N;ARO_M;ARO_SD;ARO_N;CON_M;CON_SD;CON_N;IMA_M;IMA_SD;IMA_N;AVA_M;AVA_SD;AVA_N;FAM_M;FAM_SD;FAM_N
382;criterio;criterion;N;6.39;1.50;23;4.73;2.45;22;1.90;1.07;20;1.41;0.73;22;3.00;1.95;22;6.30;1.42;20
383;crucero;cruise;N;7.38;1.84;24;5.05;2.99;21;5.65;1.04;20;5.91;1.38;22;6.60;0.68;20;5.91;1.70;23
384;crucifijo;crucifix;N;3.50;2.19;24;5.14;2.37;21;6.41;0.67;22;6.19;1.47;21;4.70;2.36;20;5.05;1.94;22
385;crucifixión;crucifixion;N;2.18;1.37;22;6.95;1.70;20;3.90;2.02;20;5.50;1.96;20;3.55;2.20;22;3.14;2.06;21
386;crueldad;cruelty;N;1.14;0.47;22;7.50;1.32;20;3.75;1.83;20;2.65;1.81;20;3.78;1.78;23;5.50;1.87;22
387;cruz;cross;N;3.85;1.39;20;4.00;1.90;22;5.75;1.02;20;6.70;0.57;20;5.04;2.01;23;5.81;1.47;21
388;cuaderno;notebook;N;5.14;0.89;22;4.25;1.59;20;6.14;1.17;22;6.81;0.40;21;5.50;2.11;24;6.32;1.36;22
389;cuadrado;square;A N V;4.90;0.44;21;3.45;1.82;20;5.59;1.87;22;6.70;0.92;20;4.95;2.54;22;6.27;1.20;22
390;cuadro;box;V A N;5.45;1.15;20;3.68;1.81;22;5.55;1.47;22;6.80;0.52;20;5.40;1.79;20;6.32;0.95;22
391;cuarto;room;V A N;5.12;1.42;26;3.60;1.54;20;4.10;2.14;21;4.85;2.08;20;5.18;2.08;22;6.68;0.57;22
392;cubo;cube;N;4.90;0.30;21;3.36;1.87;22;5.64;1.59;22;6.75;0.91;20;5.50;2.31;20;6.18;1.33;22
393;cuchillo;knife;N;4.30;1.74;23;5.75;2.38;20;6.73;0.46;22;6.86;0.35;22;6.23;1.54;22;6.83;0.49;23
394;cuenco;bowl;N;4.78;1.13;23;3.65;1.84;20;5.73;1.45;22;6.74;0.92;23;5.27;1.78;22;5.27;2.00;22
395;cuervo;crow;N;4.19;0.98;21;5.14;2.27;22;6.65;0.65;23;6.65;0.71;23;4.14;2.68;22;5.18;1.74;22
396;cuestión;question;N;5.00;1.07;22;5.00;1.62;20;2.30;1.72;20;2.73;2.03;22;3.33;2.14;24;6.55;0.94;20
397;cueva;cave;N;4.78;0.95;23;5.40;2.56;20;6.41;0.80;22;6.68;0.57;22;5.32;2.12;22;5.43;1.78;21
398;culebra;snake;N;3.57;1.54;21;6.60;1.96;20;6.30;0.80;20;6.20;1.44;20;3.87;2.24;23;4.40;1.96;20
399;culpabilidad;guilt;N;1.82;1.01;22;6.20;3.16;20;3.75;2.07;20;2.10;1.59;20;4.39;1.99;23;5.50;1.43;20
400;culto;worship;A N;6.64;1.33;22;3.60;1.57;20;2.23;1.19;22;3.67;1.98;21;4.60;1.67;20;5.19;1.40;21
401;cumpleaños;birthday;N;7.80;1.24;20;7.00;1.35;22;5.59;1.50;22;6.00;0.97;20;6.41;0.96;22;6.61;0.66;23
402;curación;healing;N;7.55;1.43;20;3.05;2.40;22;3.41;1.56;22;3.25;1.21;20;4.35;2.29;23;5.05;1.39;20
403;curandera;healer;N;4.65;1.35;20;5.05;1.76;20;4.71;1.49;21;4.55;1.68;22;4.23;2.16;22;3.59;1.79;22
404;curandero;healer;N;5.15;1.97;26;4.40;2.04;20;5.38;1.28;21;3.75;2.15;20;4.05;2.21;22;3.82;1.76;22
405;curso;course;V N;5.05;1.25;22;4.95;2.28;22;3.14;1.39;21;3.17;1.37;23;6.35;1.18;20;6.36;0.79;22
406;dama;lady;N;5.36;1.43;22;4.29;2.17;21;4.76;1.89;21;5.90;1.45;20;3.95;2.21;20;4.05;1.81;22
407;década;decade;N;5.00;1.20;22;4.82;1.82;22;5.65;1.93;20;2.70;1.74;23;3.41;2.13;22;5.90;1.94;20
408;decadencia;decline;N;2.25;1.48;24;5.24;2.45;21;2.36;1.33;22;2.48;1.50;21;3.15;2.21;20;4.24;1.45;21
409;declive;decline;N;3.67;1.31;24;4.76;2.62;21;2.91;1.41;22;1.83;1.40;23;2.55;1.76;20;3.68;1.64;22
410;decoro;decorum;V N;5.27;0.70;22;3.45;1.73;20;3.78;1.68;23;2.87;1.96;23;3.45;1.97;22;2.76;1.81;21
411;dedo;finger;N;4.90;1.04;21;4.27;1.83;22;6.64;0.90;22;6.80;0.70;20;5.91;1.74;22;6.87;0.34;23
412;defecto;defect;N;3.43;1.24;23;5.64;2.22;22;3.29;1.85;21;2.36;1.36;22;4.45;1.97;22;6.05;0.86;21
413;degeneración;degeneration;N;2.13;1.14;23;6.05;1.89;22;2.86;1.49;22;2.41;1.50;22;3.00;1.88;22;4.33;1.59;21
414;degradación;degradation;N;2.63;1.44;24;5.10;2.45;21;3.10;1.74;20;2.45;1.26;22;2.60;1.98;20;5.05;2.21;20
415;delantal;smock;N;5.52;1.31;23;3.30;1.89;20;6.60;0.75;20;6.68;0.57;22;5.68;1.86;22;5.67;1.20;21
416;delirio;delirium;N;3.25;1.85;24;6.29;1.95;21;3.30;1.78;20;2.00;1.15;22;3.15;2.11;20;4.71;1.35;21
417;dependienta;clerk;N;5.20;1.06;20;4.60;1.85;20;4.38;1.96;21;6.41;1.10;22;6.45;1.01;22;5.86;1.13;22
418;deportista;athlete;A N;6.27;1.34;26;5.75;2.43;20;4.95;1.99;21;5.95;1.43;20;5.86;1.39;22;6.62;1.12;21
419;depresión;depression;N;2.20;1.01;20;5.81;2.52;21;2.50;1.10;20;3.68;1.94;22;5.15;2.23;20;6.18;1.14;22
420;derecha;right;A N;4.95;0.58;22;4.38;2.27;21;5.14;1.75;22;3.82;1.62;22;4.95;2.06;22;6.73;0.55;22
421;desafío;challenge;V N;5.77;1.63;22;6.95;2.06;20;3.25;1.92;20;2.20;1.54;20;3.83;2.12;23;5.60;1.64;20
422;desagrado;displeasure;V N;2.22;0.90;23;7.20;1.40;20;2.55;1.61;20;3.14;1.46;21;3.14;1.64;22;4.80;1.64;20
423;desahogo;relief;V N;6.23;1.90;22;3.45;2.56;20;3.90;1.67;21;2.33;1.39;21;4.13;2.07;24;4.95;1.72;21
424;desánimo;despondency;N;1.75;0.85;24;4.05;2.71;21;3.15;1.69;20;2.50;1.47;22;4.70;2.11;20;5.85;1.42;20
425;desaparecer;to disappear;V;2.96;2.16;23;5.68;2.98;22;3.35;2.08;20;3.52;1.72;21;4.73;2.39;22;5.86;1.25;22
426;desaparición;disappearance;N;1.86;1.86;22;7.50;1.88;20;3.35;1.93;20;2.45;1.32;20;5.05;1.81;22;4.81;1.94;21
427;descenso;decrease;N;3.09;1.23;22;4.95;2.31;20;3.55;1.67;20;3.52;1.47;23;3.79;2.08;24;5.75;1.45;20
428;desconfianza;distrust;N;2.40;1.27;20;7.27;1.24;22;2.41;1.18;22;1.91;1.27;22;4.00;2.45;23;5.87;1.66;23
429;desconsuelo;grief;N;2.21;1.35;24;5.38;2.80;21;2.36;1.26;22;2.95;1.72;21;3.50;1.70;20;4.35;2.01;23
430;descontento;discontent;V A N;1.91;1.08;23;5.41;2.75;22;3.57;1.96;21;2.87;1.46;23;4.82;2.11;22;5.00;2.02;22
431;deseo;desire;V N;7.30;1.34;20;7.05;1.33;22;2.90;1.71;20;2.60;1.43;20;5.36;1.79;22;6.55;0.83;20
432;desesperado;desperate;A N V;2.25;1.41;20;6.86;1.28;22;4.78;1.54;23;4.39;1.99;23;5.18;1.97;22;5.73;1.72;22
433;desgaste;wear;N;3.25;1.21;20;4.82;1.94;22;3.43;1.99;21;3.59;1.79;22;3.57;2.33;23;5.75;1.41;20
434;desierto;desert;N;3.96;1.80;23;3.09;2.29;22;5.38;1.86;21;6.68;0.57;22;6.41;1.30;22;6.05;1.25;22
435;desigualdad;inequality;N;1.55;1.10;20;5.95;1.86;22;2.35;1.50;20;3.40;1.60;20;4.30;1.94;23;5.25;2.00;20
436;desolación;desolation;N;1.74;1.01;23;6.45;2.61;22;3.82;2.20;22;3.00;1.85;22;2.95;1.96;22;4.80;1.54;20
437;desorden;disorder;N;2.91;1.38;22;7.50;1.43;20;4.19;1.60;21;4.68;1.62;22;6.09;1.06;22;6.15;1.27;20
438;despacho;office;V N;4.81;1.17;21;4.09;1.69;22;6.38;1.02;21;6.55;0.80;22;5.64;1.71;22;6.15;1.18;20
439;despilfarro;waste;N;3.48;1.78;23;6.45;2.09;22;3.10;2.02;21;3.15;1.53;20;4.41;2.24;22;4.86;1.53;21
440;desprecio;contempt;V N;1.55;0.67;22;6.30;2.00;20;3.25;1.83;20;2.90;1.92;20;3.95;1.65;22;5.64;1.18;22
441;despreocupado;carefree;A V;5.55;2.19;20;3.65;2.08;20;3.95;2.09;20;2.67;1.80;21;3.55;2.11;22;5.74;1.54;23
442;destino;destiny;N;5.83;1.92;23;5.80;2.42;20;2.36;1.68;22;2.43;1.50;21;4.77;2.18;22;5.43;1.60;21
443;destreza;skill;N;6.73;1.28;22;3.90;2.29;20;3.20;1.88;20;1.73;0.98;22;4.27;2.05;22;5.30;1.84;20
444;destrucción;destruction;N;1.55;0.67;22;7.50;2.14;20;3.70;1.78;20;4.55;1.85;20;4.52;2.11;23;5.14;1.85;21
445;desván;attic;N;5.09;1.24;23;5.00;2.15;20;6.05;1.28;21;5.57;1.78;21;5.05;2.36;22;5.24;1.76;21
446;desviación;deviation;N;4.27;0.94;22;4.43;1.54;21;2.82;1.37;22;3.00;2.00;22;3.59;2.24;22;5.09;1.47;23
447;detergente;detergent;A N;5.09;1.19;22;4.20;1.99;20;6.32;1.04;22;5.95;1.73;20;6.18;1.10;22;6.09;1.41;22
448;deterioro;deterioration;V N;2.18;1.01;22;5.45;1.99;20;2.70;1.45;20;3.35;1.42;20;4.00;2.20;22;4.27;1.88;22
449;diablo;devil;N;3.45;1.43;20;6.18;1.65;22;4.76;2.19;21;6.43;1.12;23;5.25;1.97;20;5.91;1.65;23
450;diamante;diamond;N;7.25;1.37;20;4.70;2.13;20;5.95;1.47;21;6.64;0.58;22;5.18;2.22;22;5.76;1.51;21
451;diccionario;dictionary;N;5.05;1.05;20;3.65;1.57;20;6.75;0.55;20;6.82;0.39;22;6.09;1.72;22;6.41;1.10;22
452;diente;tooth;N;5.09;0.61;22;4.00;1.62;20;6.10;1.61;21;6.91;0.43;22;6.20;1.44;20;6.76;0.54;21
453;dieta;diet;N;5.50;1.22;22;4.50;1.73;20;4.95;1.43;22;3.65;1.61;23;6.05;1.88;20;6.09;1.41;22
454;diferencia;difference;N;4.82;1.47;22;4.40;1.98;20;3.40;1.88;20;2.13;0.97;23;4.77;1.77;22;6.85;0.49;20
455;dificultad;difficulty;N;3.48;1.90;23;6.85;1.81;20;3.20;1.44;20;2.65;1.42;20;4.27;1.98;22;6.32;0.57;22
456;difunto;deceased;N;2.07;0.94;28;5.57;2.45;23;5.77;1.07;22;5.19;1.75;21;6.15;1.31;20;4.52;1.75;21
457;difusión;diffusion;N;5.27;1.03;22;5.30;2.15;20;2.45;1.41;22;1.59;1.18;22;3.05;1.96;22;4.14;1.98;21
458;dignidad;dignity;N;7.30;0.97;23;4.95;2.89;20;2.50;1.61;20;2.62;1.56;21;4.27;2.25;22;6.15;1.27;20
459;dinámica;dynamics;A N;6.46;1.28;24;5.24;2.34;21;2.32;1.43;22;2.14;1.24;21;4.30;2.39;20;5.32;1.59;22
460;dinero;money;N;6.95;1.36;22;5.27;2.60;22;5.36;1.71;22;6.86;0.47;22;6.30;1.56;20;6.86;0.36;21
461;diosa;goddess;N;6.58;1.33;26;4.90;2.05;20;3.67;1.88;21;4.20;2.19;20;3.91;2.33;22;4.95;1.60;21
462;diputada;deputy;N;3.75;1.73;28;5.17;2.42;23;5.82;1.01;22;4.81;1.99;21;5.24;2.02;21;5.15;1.69;20
463;directora;director;A N;5.77;1.63;26;5.55;2.06;20;4.71;1.71;21;4.60;1.90;20;5.32;1.84;22;6.26;1.14;23
464;disco;disk;V N;6.14;1.28;22;6.64;1.68;22;5.27;1.64;22;6.73;0.55;22;6.05;1.73;20;6.36;1.05;22
465;discusión;discussion;N;2.05;0.84;22;8.20;1.01;20;4.35;2.13;20;4.75;2.07;20;5.77;1.60;22;6.30;1.17;20
466;diseñadora;designer;N;5.85;1.22;26;4.40;1.67;20;5.33;1.46;21;3.35;1.90;20;4.91;2.04;22;5.82;1.26;22
467;diseño;design;V N;6.09;0.87;22;3.67;1.71;21;1.90;0.70;21;3.41;2.17;22;4.80;2.26;20;5.57;1.21;21
468;disertación;dissertation;N;4.38;0.86;21;5.05;1.89;22;4.43;1.67;23;1.96;1.07;23;1.91;1.48;22;2.40;1.27;20
469;disgusto;disgust;N;1.74;0.81;23;7.45;1.57;20;3.91;1.93;22;2.45;1.60;22;4.82;1.76;22;5.68;1.70;22
470;disminución;decrease;N;3.00;1.81;20;3.86;2.17;22;2.95;1.88;20;2.24;1.41;21;3.74;2.32;23;4.68;1.76;22
471;disminuido;decreased;A N V;3.32;1.36;22;4.45;1.76;20;2.76;0.89;21;3.62;1.69;21;4.42;2.10;24;4.19;1.78;21
472;disparate;nonsense;V N;4.68;1.70;22;5.80;2.14;20;2.75;1.48;20;1.95;1.15;20;3.50;1.87;24;4.77;1.93;22
473;distorsión;distortion;N;2.77;1.41;22;5.95;2.56;20;2.65;1.76;20;3.05;1.90;20;2.88;1.92;24;4.95;1.64;20
474;distrito;district;N;4.55;1.14;22;4.32;1.81;22;4.30;2.16;23;3.96;2.01;23;3.64;2.01;22;3.64;1.71;22
475;disturbio;disturbance;N;3.05;1.16;21;6.50;1.05;20;4.43;1.50;23;4.00;2.02;23;4.27;1.96;22;4.71;1.45;21
476;diversión;fun;N;8.43;0.93;21;7.41;1.53;22;2.75;1.62;20;4.30;1.79;23;5.95;1.43;22;6.10;1.37;20
477;divinidad;divinity;N;5.79;2.11;24;4.29;2.08;21;1.85;0.88;20;2.52;1.83;23;2.80;2.09;20;3.75;1.74;20
478;división;division;N;4.20;1.20;20;4.18;1.71;22;3.05;1.40;22;4.55;2.02;22;4.55;1.88;20;5.82;1.30;22
479;divorcio;divorce;V N;2.68;1.43;22;6.40;1.35;20;5.19;1.94;21;3.65;1.57;20;4.95;1.99;20;5.71;1.59;21
480;doctora;doctor;N V;5.89;1.57;28;5.39;2.29;23;5.68;1.21;22;6.57;0.60;21;6.05;1.43;21;6.59;0.67;22
481;documento;document;N;4.82;1.30;22;4.50;2.14;20;4.45;1.85;20;6.55;0.83;20;5.50;1.93;24;6.14;1.06;21
482;dorada;golden;A N V;6.14;1.36;22;4.20;2.28;20;4.29;2.31;21;5.55;1.67;20;3.91;2.47;22;4.86;1.83;22
483;dormitorio;room;N;7.30;1.46;23;3.09;2.69;22;6.41;0.73;22;6.87;0.34;23;6.77;0.53;22;6.50;1.41;22
484;dramatismo;drama;N;3.95;1.25;22;7.40;1.50;20;3.05;1.62;22;3.20;1.67;20;3.64;2.04;22;5.00;1.90;21
485;drogadicta;junkie;N;1.27;0.70;22;6.30;2.12;23;5.80;1.01;20;5.57;1.36;21;4.61;1.85;23;5.50;1.65;22
486;drogadicto;junkie;N;1.70;1.13;20;7.05;1.70;20;5.14;1.31;21;5.55;1.23;20;5.68;1.46;22;4.85;1.81;20
487;duda;doubt;N V;3.10;1.12;20;6.36;1.92;22;3.15;1.95;20;2.43;1.78;21;5.52;1.83;23;6.25;0.97;20
488;dudar;to doubt;V;3.35;1.19;23;5.14;2.21;22;3.91;1.95;22;3.40;1.57;20;4.41;2.09;22;6.33;0.73;21
489;duelo;duel;N;2.80;2.24;20;6.41;1.68;22;3.62;2.11;21;4.67;1.71;21;5.20;2.42;20;4.25;1.59;20
490;dureza;hardness;N;4.17;2.08;23;6.68;1.67;22;2.90;1.92;20;3.30;1.78;20;3.82;2.24;22;6.10;1.65;20
491;echar;throw;V;2.83;1.53;23;5.91;1.95;22;2.77;1.38;22;3.50;2.06;22;5.32;1.94;22;6.14;1.46;21
492;edificio;building;N;5.00;0.56;20;4.09;1.57;22;5.52;1.83;21;6.77;0.69;22;6.23;1.34;22;6.68;0.65;22
493;editora;editor;N;5.62;1.33;26;4.50;2.01;20;5.38;1.50;21;3.00;1.84;20;3.36;2.13;22;4.57;2.11;21
494;educadora;educator;N;6.71;1.15;28;4.30;1.82;23;4.91;1.72;22;4.57;2.16;21;4.57;1.94;21;4.82;1.50;22
495;efectividad;effectiveness;N;7.00;1.41;22;4.05;2.35;20;3.20;1.79;20;1.95;1.59;22;3.92;2.17;24;5.70;1.26;20
496;efecto;effect;N;5.36;1.09;22;4.65;2.08;20;2.30;1.53;20;1.95;1.39;20;3.00;1.81;23;4.95;1.82;20
497;egoísmo;selfishness;N;2.27;1.16;22;6.90;2.10;20;3.33;1.93;21;2.36;1.40;22;4.55;2.13;22;5.77;1.63;22
498;ejecutivo;executive;N;5.29;1.01;28;5.13;2.01;23;5.65;1.53;20;6.05;1.02;21;4.62;2.11;21;4.19;1.86;21
499;ejemplar;exemplary;A N V;5.91;1.15;22;4.32;2.19;22;2.36;1.40;22;2.33;1.11;21;4.10;2.10;20;5.45;1.50;22
500;ejemplo;instance;V N;5.45;1.05;20;4.09;1.54;22;2.05;1.50;21;1.82;1.10;22;4.32;2.10;22;6.52;1.31;23
501;electricidad;electricity;N;5.36;1.29;22;5.30;2.49;20;4.30;2.08;20;4.15;1.79;20;3.64;2.28;22;6.13;1.14;23
502;elegante;elegant;A;7.95;1.05;22;4.40;2.35;20;4.35;2.03;20;4.95;1.99;20;5.39;2.08;23;6.27;1.08;22
503;elemento;element;N;5.09;0.29;22;4.25;2.02;20;1.55;1.14;22;1.86;1.32;22;3.64;2.08;22;5.83;1.75;23
504;eliminación;elimination;N;2.59;1.68;22;5.00;2.70;20;3.80;2.02;20;2.75;2.24;20;3.26;2.12;23;5.43;1.47;21
505;elogio;praise;V N;7.80;1.06;20;6.05;2.34;22;3.14;1.88;21;2.80;1.54;20;4.22;1.98;23;4.81;1.36;21
506;embajada;embassy;N;4.95;0.58;22;4.73;1.96;22;5.40;1.64;20;4.14;2.23;22;4.00;2.29;22;3.57;1.29;21
507;embarazada;pregnant;A N V;7.68;1.17;22;5.95;2.44;20;6.76;0.70;21;6.73;0.55;22;6.29;1.55;24;6.10;1.21;20
508;embarazo;pregnancy;N V;7.20;2.07;20;7.18;2.34;22;5.95;1.63;21;6.85;0.49;20;6.52;0.95;23;6.09;1.41;22
509;emoción;emotion;N;8.30;0.86;20;8.23;1.15;22;2.50;1.64;20;3.15;1.79;20;6.43;0.99;23;6.55;0.74;22
510;emperador;emperor;N;4.85;1.31;20;5.05;2.04;20;5.05;1.47;21;5.05;1.53;22;4.18;2.44;22;4.29;2.19;21
511;emperatriz;empress;N;5.10;1.45;20;4.75;1.83;20;5.38;1.50;21;4.59;1.79;22;3.50;2.43;22;4.29;1.38;21
512;empresaria;businesswoman;N;5.57;1.20;28;4.48;1.68;23;4.18;1.76;22;4.48;2.02;21;4.43;2.09;21;5.35;1.79;20
513;empresario;entrepreneur;N;5.29;1.44;28;4.80;1.94;20;4.73;1.80;22;4.71;1.90;21;4.62;1.77;21;5.38;1.40;21
514;enamorado;in love;A V;8.05;1.24;21;6.00;2.96;22;4.10;1.89;20;4.00;1.81;23;6.50;1.06;22;6.35;1.09;20
515;encaje;lace;V N;5.52;1.41;23;3.80;2.12;20;4.95;1.56;22;5.14;1.96;22;2.95;2.19;22;4.48;1.57;21
516;encuentro;find;V N;7.25;1.59;20;5.86;2.17;22;2.65;1.69;20;3.65;1.46;20;5.43;1.75;23;6.35;1.04;20
517;enemigo;enemy;N;2.57;1.47;21;6.95;2.04;21;5.10;1.37;20;3.40;1.90;20;4.85;1.95;20;5.64;1.43;22
518;enérgico;energetic;A;6.90;1.17;20;6.18;2.02;22;4.57;1.59;23;4.17;2.10;23;5.14;2.03;22;5.00;1.98;23
519;enfadado;angry;V A;1.95;0.92;21;6.90;1.33;20;5.04;1.89;23;5.09;2.00;23;5.91;1.77;22;6.48;0.87;21
520;enfado;anger;N;2.43;0.98;21;7.35;1.18;20;4.74;1.79;23;4.74;2.07;23;5.77;1.72;22;6.62;0.67;21
521;enfermedad;disease;N;1.35;0.65;23;8.35;0.93;20;2.35;1.35;20;3.10;1.41;20;5.77;1.31;22;6.10;1.22;21
522;enfermero;nurse;N;5.50;1.88;20;5.60;1.67;20;6.00;1.00;21;6.57;0.75;21;6.18;1.05;22;6.25;0.79;20
523;enfurecido;enraged;V A;2.50;0.80;22;7.24;1.97;21;5.26;1.48;23;4.52;2.33;23;4.77;2.25;22;5.19;1.66;21
524;engañar;to deceive;V;1.48;0.67;23;7.64;1.56;22;4.05;1.91;21;2.67;1.46;21;5.00;2.05;22;6.23;0.97;22
525;enigma;enigma;N;5.27;1.55;22;6.68;1.78;22;2.95;1.57;20;2.65;1.53;20;3.35;1.76;20;4.24;1.55;21
526;enmienda;amendment;N;4.70;0.98;20;4.00;2.02;21;4.30;1.77;23;1.83;0.98;23;1.77;1.19;22;3.14;1.88;21
527;enredo;tangle;V N;3.33;1.17;24;5.86;2.03;21;3.55;1.65;22;3.71;1.62;21;3.85;2.03;20;5.50;1.36;20
528;enterrador;undertaker;N;1.60;1.05;20;6.40;1.98;20;5.81;1.21;21;5.41;1.50;22;4.68;2.19;22;3.95;2.37;20
529;entierro;burial;V N;1.35;0.49;20;7.27;1.49;22;6.15;0.88;20;5.95;1.47;20;6.20;1.01;20;5.71;1.74;21
530;entorno;environment;V N;5.95;1.40;22;5.25;2.12;20;2.90;1.92;20;2.64;1.43;22;4.88;2.25;24;6.20;1.28;20
531;entusiasmo;enthusiasm;V N;7.91;1.11;22;7.35;2.32;20;3.40;1.76;20;2.75;1.68;20;5.09;2.07;23;5.81;1.03;21
532;episodio;episode;N;5.71;1.23;24;4.14;1.62;21;3.90;1.18;21;3.05;2.13;22;4.80;2.48;20;6.32;0.78;22
533;época;time;N;5.22;0.74;23;4.65;1.93;20;2.55;1.34;22;2.76;1.48;21;3.82;2.13;22;5.71;1.19;21
534;erección;erection;N;6.90;1.94;20;7.41;1.97;22;6.27;1.20;22;6.57;0.60;21;5.96;1.30;23;6.20;1.11;20
535;erótico;erotic;A;7.48;0.98;21;7.14;1.91;22;5.35;1.50;23;5.43;1.70;23;5.77;1.66;22;6.09;0.75;22
536;escala;scale;V N;4.75;0.55;20;3.73;1.83;22;2.50;1.43;20;2.91;2.02;22;4.35;2.54;20;5.91;1.06;22
537;escalera;ladder;N;4.95;0.49;22;4.00;1.84;21;6.29;1.27;21;6.82;0.50;22;6.36;1.09;22;6.60;0.99;20
538;escaparate;showcase;N;5.86;1.21;28;3.83;2.21;23;4.91;1.85;22;6.67;0.58;21;5.14;1.85;21;6.00;1.14;21
539;escasez;scarcity;N;2.04;1.15;23;6.35;2.58;20;3.55;2.04;20;3.76;2.26;21;3.82;1.99;22;5.55;1.93;20
540;escena;scene;N;5.55;0.80;22;4.55;1.65;22;3.45;1.50;22;4.35;1.79;20;5.55;1.82;22;5.70;1.42;20
541;escenario;stage;N;6.50;1.72;24;6.38;2.18;21;5.20;1.15;20;6.41;0.85;22;5.90;1.86;20;5.55;1.73;20
542;escéptico;skeptical;A;4.23;0.87;22;4.55;1.44;22;4.00;1.76;21;1.77;1.51;22;2.55;1.77;22;3.91;1.95;22
543;escorpión;scorpion;N;3.35;1.73;20;6.50;1.82;20;6.70;0.56;23;6.78;0.67;23;5.36;2.01;22;5.05;1.76;22
544;escote;cleavage;V N;5.71;1.78;28;4.87;2.05;23;5.68;1.55;22;6.52;0.87;21;4.62;2.33;21;6.23;1.19;22
545;escritora;writer;N;6.04;0.84;28;3.52;1.95;23;5.68;1.13;22;5.14;1.62;21;5.00;1.87;21;6.09;1.06;22
546;escuela;school;N;6.15;1.64;26;4.90;1.89;20;5.52;1.36;21;6.65;1.14;20;6.32;1.29;22;6.67;0.48;21
547;escultora;sculptor;N;6.39;1.07;28;4.17;1.97;23;5.27;1.24;22;4.14;2.13;21;3.52;1.83;21;4.73;2.03;22
548;esfuerzo;effort;V N;7.85;1.14;20;5.55;2.20;22;2.40;1.50;20;3.09;1.60;22;5.35;2.04;23;6.15;1.18;20
549;espanto;fright;V N;2.86;1.55;22;7.45;1.39;20;3.05;1.94;21;2.68;1.52;22;3.41;2.06;22;4.10;1.92;20
550;espantoso;frightening;A;2.55;1.05;20;6.35;2.16;20;3.83;1.85;23;3.61;1.80;23;5.59;1.30;22;5.24;1.73;21
551;esperanza;hope;N;7.70;1.36;23;4.65;3.23;20;2.50;1.67;20;2.30;0.92;20;4.50;1.92;22;5.95;1.36;20
552;esqueleto;skeleton;N;4.38;2.10;24;5.00;2.24;21;5.90;1.61;21;6.62;0.50;21;5.95;1.90;20;5.86;1.25;22
553;esquina;corner;N V;4.45;1.10;22;4.10;1.68;20;5.59;1.53;22;6.62;0.74;21;4.50;2.26;22;5.81;1.03;21
554;estado;state;N V;5.17;1.20;24;4.86;1.49;21;2.35;1.66;20;1.95;1.33;22;3.45;2.26;20;5.55;1.73;20
555;estallido;pop;N;3.35;1.43;23;7.45;1.47;22;5.25;1.45;20;3.95;2.37;20;4.73;1.98;22;4.09;1.57;22
556;estantería;shelf;N;5.00;0.77;28;3.65;2.25;23;5.73;1.80;22;6.81;0.51;21;5.00;2.19;21;6.00;1.41;20
557;estilista;stylist;N;6.20;1.20;20;4.55;2.06;20;5.38;1.12;21;5.25;1.48;20;4.95;2.08;22;4.55;2.16;20
558;estilo;style;N;6.35;1.04;20;3.82;1.79;22;2.50;1.47;22;3.30;1.84;20;3.96;2.29;23;6.00;1.31;23
559;estimulación;stimulation;N;6.73;1.28;22;6.75;2.15;20;3.30;1.45;20;2.15;1.60;20;4.22;2.09;23;5.86;1.39;21
560;estímulo;stimulus;N;6.09;1.27;22;6.55;1.99;20;3.40;1.93;20;2.50;1.88;20;4.70;1.92;23;5.95;1.60;21
561;estómago;stomach;N;4.73;1.03;22;4.27;1.83;22;5.95;1.23;20;5.87;1.29;23;5.23;1.93;22;6.57;0.95;23
562;estrecho;narrow;V A N;4.48;0.81;21;4.95;2.19;22;3.85;2.06;20;4.60;1.54;20;5.15;2.28;20;5.38;1.40;21
563;estuche;case;V M;5.17;0.49;23;3.70;1.63;20;5.67;1.59;21;6.75;0.55;20;6.45;0.91;22;5.90;1.55;20
564;eternidad;eternity;N;6.70;1.92;23;4.55;2.93;20;2.68;1.86;22;1.90;1.45;21;3.91;2.27;22;4.75;1.86;20
565;ética;ethics;A N;6.95;1.28;20;3.77;2.00;22;3.27;2.05;22;1.90;1.09;21;3.96;2.65;23;4.95;1.94;21
566;etiqueta;label;N;4.81;1.03;21;3.86;1.88;21;4.41;1.87;22;6.20;1.01;20;5.20;2.38;20;6.05;1.28;20
567;eufórico;euphoric;A;7.68;1.09;22;7.20;1.01;20;4.91;1.53;23;4.74;1.74;23;5.55;1.71;22;5.30;1.30;20
568;evolución;evolution;N;7.09;1.41;23;5.59;1.76;22;2.59;1.47;22;2.73;1.55;22;4.41;1.92;22;5.61;1.73;23
569;exceso;excess;N;3.88;2.01;24;6.90;1.73;21;3.09;1.44;22;3.15;1.35;20;4.45;2.06;20;6.00;1.26;20
570;excitado;excited;V;7.62;1.12;21;7.82;1.18;22;4.17;1.87;23;4.78;2.00;23;5.95;1.33;22;6.00;0.95;21
571;exclusión;exclusion;N;2.22;1.35;23;6.86;1.96;22;3.05;1.65;22;2.55;1.26;22;4.14;1.81;22;4.23;1.88;22
572;excursión;tour;N;7.67;1.20;24;5.81;2.38;21;4.30;2.05;20;5.09;1.57;22;6.80;0.52;20;6.20;1.44;20
